UserID,VOid,POid,Price,Duration,Reputation,SuccessRate,Availability
UserID_1,voID_1,poID_1,P_91.0,D_29.0,R_24.0,S_76.0,A_27.0
UserID_2,voID_2,poID_2,P_19.0,D_15.0,R_98.0,S_81.0,A_34.0
UserID_3,voID_3,poID_3,P_84.0,D_64.0,R_65.0,S_54.0,A_99.0
UserID_4,voID_4,poID_4,P_20.0,D_24.0,R_38.0,S_37.0,A_10.0
UserID_5,voID_5,poID_5,P_24.0,D_22.0,R_81.0,S_27.0,A_46.0
UserID_6,voID_6,poID_6,P_67.0,D_7.0,R_54.0,S_25.0,A_38.0
UserID_7,voID_7,poID_7,P_66.0,D_39.0,R_41.0,S_9.0,A_34.0
UserID_8,voID_8,poID_8,P_60.0,D_40.0,R_80.0,S_4.0,A_2.0
UserID_9,voID_9,poID_9,P_13.0,D_36.0,R_94.0,S_72.0,A_86.0
UserID_10,voID_10,poID_10,P_23.0,D_11.0,R_70.0,S_42.0,A_48.0
UserID_11,voID_11,poID_11,P_25.0,D_24.0,R_23.0,S_68.0,A_52.0
UserID_12,voID_12,poID_12,P_24.0,D_15.0,R_97.0,S_38.0,A_31.0
UserID_13,voID_13,poID_13,P_94.0,D_26.0,R_58.0,S_2.0,A_8.0
UserID_14,voID_14,poID_14,P_69.0,D_63.0,R_45.0,S_35.0,A_5.0
UserID_15,voID_15,poID_15,P_93.0,D_61.0,R_50.0,S_51.0,A_46.0
UserID_16,voID_16,poID_16,P_57.0,D_33.0,R_89.0,S_80.0,A_27.0
UserID_17,voID_17,poID_17,P_19.0,D_81.0,R_95.0,S_50.0,A_10.0
UserID_18,voID_18,poID_18,P_99.0,D_8.0,R_2.0,S_7.0,A_31.0
UserID_19,voID_19,poID_19,P_38.0,D_30.0,R_93.0,S_70.0,A_68.0
UserID_20,voID_20,poID_20,P_50.0,D_58.0,R_81.0,S_49.0,A_27.0
UserID_21,voID_21,poID_21,P_86.0,D_25.0,R_63.0,S_9.0,A_76.0
UserID_22,voID_22,poID_22,P_58.0,D_51.0,R_60.0,S_31.0,A_2.0
UserID_23,voID_23,poID_23,P_30.0,D_36.0,R_10.0,S_25.0,A_85.0
UserID_24,voID_24,poID_24,P_86.0,D_36.0,R_78.0,S_51.0,A_79.0
