UserID,VOid,POid,Price,Duration,Reputation,SuccessRate,Availability
UserID1,voID1,poID1,4,3,4,2,1
UserID2,voID2,poID2,1,2,2,1,3
UserID3,voID3,poID3,1,1,1,3,3
UserID4,voID4,poID4,3,3,3,4,1
UserID5,voID5,poID5,3,1,4,3,2
UserID6,voID6,poID6,4,2,4,1,2
UserID7,voID7,poID7,2,1,4,4,2
UserID8,voID8,poID8,3,1,1,2,4
UserID9,voID9,poID9,2,3,4,1,2
UserID10,voID10,poID10,3,2,1,3,4
UserID11,voID11,poID11,2,3,4,2,2
UserID12,voID12,poID12,3,4,4,1,2
UserID13,voID13,poID13,4,4,3,2,1
UserID14,voID14,poID14,1,1,2,2,3
UserID15,voID15,poID15,3,2,2,2,3
UserID16,voID16,poID16,2,2,3,1,1
UserID17,voID17,poID17,3,2,3,4,3
UserID18,voID18,poID18,3,4,2,4,2
UserID19,voID19,poID19,2,4,1,2,2
UserID20,voID20,poID20,2,1,4,2,1
UserID21,voID21,poID21,1,3,1,1,1
UserID22,voID22,poID22,3,1,1,2,1
UserID23,voID23,poID23,1,1,2,1,4
UserID24,voID24,poID24,3,1,2,1,2
UserID25,voID25,poID25,3,3,2,1,3
UserID26,voID26,poID26,2,1,4,3,4
UserID27,voID27,poID27,2,2,3,3,4
UserID28,voID28,poID28,4,3,3,1,2
UserID29,voID29,poID29,4,3,3,3,4
UserID30,voID30,poID30,3,3,3,4,2
UserID31,voID31,poID31,4,3,3,3,3
UserID32,voID32,poID32,2,1,3,2,4
UserID33,voID33,poID33,1,3,3,4,1
UserID34,voID34,poID34,3,4,3,3,4
UserID35,voID35,poID35,4,4,4,3,1
UserID36,voID36,poID36,4,3,1,2,4
UserID37,voID37,poID37,2,4,2,2,4
UserID38,voID38,poID38,4,4,4,1,3
UserID39,voID39,poID39,1,1,4,1,4
UserID40,voID40,poID40,1,2,4,4,4
UserID41,voID41,poID41,3,2,4,3,2
UserID42,voID42,poID42,3,4,1,1,2
UserID43,voID43,poID43,4,4,3,4,1
UserID44,voID44,poID44,4,4,1,2,1
UserID45,voID45,poID45,1,2,1,2,2
UserID46,voID46,poID46,3,1,2,4,3
UserID47,voID47,poID47,2,4,2,3,3
UserID48,voID48,poID48,3,3,2,2,1
UserID49,voID49,poID49,4,3,3,2,4
UserID50,voID50,poID50,4,2,3,4,4
UserID51,voID51,poID51,3,4,3,3,4
UserID52,voID52,poID52,2,1,3,4,3
UserID53,voID53,poID53,4,3,1,1,4
UserID54,voID54,poID54,3,1,2,3,3
UserID55,voID55,poID55,4,1,1,1,2
UserID56,voID56,poID56,3,4,1,2,2
UserID57,voID57,poID57,3,2,4,3,2
UserID58,voID58,poID58,1,1,2,3,2
UserID59,voID59,poID59,2,1,2,4,2
UserID60,voID60,poID60,1,1,1,1,3
UserID61,voID61,poID61,4,4,4,3,3
UserID62,voID62,poID62,4,4,2,1,4
UserID63,voID63,poID63,1,2,3,1,2
UserID64,voID64,poID64,1,1,1,2,3
UserID65,voID65,poID65,1,2,2,1,4
UserID66,voID66,poID66,3,3,4,2,2
UserID67,voID67,poID67,1,2,4,4,1
UserID68,voID68,poID68,4,1,3,2,3
UserID69,voID69,poID69,2,4,1,4,2
UserID70,voID70,poID70,2,1,1,3,3
UserID71,voID71,poID71,4,3,3,4,2
UserID72,voID72,poID72,3,4,1,3,1
UserID73,voID73,poID73,2,1,1,4,1
UserID74,voID74,poID74,1,2,4,4,1
UserID75,voID75,poID75,1,1,3,4,3
UserID76,voID76,poID76,1,1,2,3,2
UserID77,voID77,poID77,1,3,2,1,4
UserID78,voID78,poID78,1,2,3,4,4
UserID79,voID79,poID79,2,3,1,4,4
UserID80,voID80,poID80,2,4,1,4,1
UserID81,voID81,poID81,3,2,1,4,3
UserID82,voID82,poID82,3,4,1,1,1
UserID83,voID83,poID83,3,3,1,1,2
UserID84,voID84,poID84,1,2,3,2,1
UserID85,voID85,poID85,2,3,4,2,4
UserID86,voID86,poID86,1,1,1,3,1
UserID87,voID87,poID87,3,4,2,4,4
UserID88,voID88,poID88,2,3,1,1,1
UserID89,voID89,poID89,2,4,3,2,3
UserID90,voID90,poID90,1,1,1,3,4
UserID91,voID91,poID91,4,2,1,1,1
UserID92,voID92,poID92,3,3,2,4,3
UserID93,voID93,poID93,4,1,1,3,1
UserID94,voID94,poID94,3,3,4,2,2
UserID95,voID95,poID95,2,1,3,2,4
UserID96,voID96,poID96,2,3,1,4,3
UserID97,voID97,poID97,3,3,3,4,3
UserID98,voID98,poID98,4,1,3,4,4
UserID99,voID99,poID99,4,1,3,1,4
UserID100,voID100,poID100,3,1,1,4,3
