UserID,VOid,POid,Price,Duration,Reputation,SuccessRate,Availability
UserID_1,voID_1,poID_1,P_10.0,D_52.0,R_38.0,S_84.0,A_62.0
UserID_2,voID_2,poID_2,P_77.0,D_63.0,R_1.0,S_11.0,A_19.0
UserID_3,voID_3,poID_3,P_15.0,D_13.0,R_23.0,S_96.0,A_18.0
UserID_4,voID_4,poID_4,P_69.0,D_16.0,R_29.0,S_72.0,A_90.0
UserID_5,voID_5,poID_5,P_98.0,D_11.0,R_49.0,S_42.0,A_95.0
UserID_6,voID_6,poID_6,P_68.0,D_8.0,R_67.0,S_38.0,A_15.0
UserID_7,voID_7,poID_7,P_94.0,D_11.0,R_67.0,S_82.0,A_88.0
UserID_8,voID_8,poID_8,P_95.0,D_22.0,R_9.0,S_80.0,A_94.0
UserID_9,voID_9,poID_9,P_44.0,D_21.0,R_59.0,S_72.0,A_21.0
UserID_10,voID_10,poID_10,P_40.0,D_84.0,R_60.0,S_38.0,A_7.0
UserID_11,voID_11,poID_11,P_66.0,D_27.0,R_79.0,S_49.0,A_55.0
UserID_12,voID_12,poID_12,P_47.0,D_33.0,R_44.0,S_51.0,A_80.0
UserID_13,voID_13,poID_13,P_80.0,D_85.0,R_56.0,S_21.0,A_97.0
UserID_14,voID_14,poID_14,P_79.0,D_90.0,R_16.0,S_29.0,A_81.0
UserID_15,voID_15,poID_15,P_10.0,D_35.0,R_57.0,S_1.0,A_2.0
UserID_16,voID_16,poID_16,P_98.0,D_44.0,R_90.0,S_78.0,A_40.0
UserID_17,voID_17,poID_17,P_47.0,D_55.0,R_76.0,S_14.0,A_10.0
UserID_18,voID_18,poID_18,P_89.0,D_47.0,R_51.0,S_87.0,A_49.0
UserID_19,voID_19,poID_19,P_25.0,D_22.0,R_90.0,S_85.0,A_72.0
UserID_20,voID_20,poID_20,P_14.0,D_1.0,R_2.0,S_12.0,A_48.0
UserID_21,voID_21,poID_21,P_97.0,D_94.0,R_25.0,S_76.0,A_44.0
UserID_22,voID_22,poID_22,P_60.0,D_44.0,R_96.0,S_50.0,A_78.0
UserID_23,voID_23,poID_23,P_58.0,D_83.0,R_84.0,S_65.0,A_68.0
UserID_24,voID_24,poID_24,P_45.0,D_30.0,R_85.0,S_65.0,A_93.0
UserID_25,voID_25,poID_25,P_89.0,D_33.0,R_24.0,S_18.0,A_59.0
UserID_26,voID_26,poID_26,P_36.0,D_47.0,R_77.0,S_11.0,A_80.0
